label,source,target
TAUGHT_BY,3,4
TAUGHT_BY,3,4321
TAUGHT_BY,5,4318
TAUGHT_BY,7,4260
TAUGHT_BY,8,9
TAUGHT_BY,10,11
TAUGHT_BY,10,12
TAUGHT_BY,10,51
TAUGHT_BY,10,802
TAUGHT_BY,10,4425
TAUGHT_BY,10,15198
TAUGHT_BY,13,14
TAUGHT_BY,13,4460
TAUGHT_BY,13,15246
TAUGHT_BY,16,4478
TAUGHT_BY,16,16302
TAUGHT_BY,18,19
TAUGHT_BY,20,21
TAUGHT_BY,20,22
TAUGHT_BY,23,4485
INCLUDES_MODULE,24,5
INCLUDES_MODULE,24,10
INCLUDES_MODULE,24,13
INCLUDES_MODULE,24,18
INCLUDES_MODULE,24,25
INCLUDES_MODULE,24,26
INCLUDES_MODULE,24,28
INCLUDES_MODULE,24,30
INCLUDES_MODULE,24,31
INCLUDES_MODULE,24,33
INCLUDES_MODULE,24,3479
INCLUDES_MODULE,24,3778
INCLUDES_MODULE,24,4229
INCLUDES_MODULE,24,4231
INCLUDES_MODULE,24,4234
INCLUDES_MODULE,24,4236
INCLUDES_MODULE,24,4238
INCLUDES_MODULE,24,4239
INCLUDES_MODULE,24,4275
INCLUDES_MODULE,24,4282
INCLUDES_MODULE,24,4288
INCLUDES_MODULE,24,4297
INCLUDES_MODULE,24,4330
INCLUDES_MODULE,24,4447
INCLUDES_MODULE,24,4456
INCLUDES_MODULE,24,4462
TAUGHT_BY,25,4254
TAUGHT_BY,25,4308
TAUGHT_BY,25,4309
TAUGHT_BY,26,27
TAUGHT_BY,28,29
TAUGHT_BY,28,4254
TAUGHT_BY,30,4480
TAUGHT_BY,31,32
TAUGHT_BY,33,34
INCLUDES_MODULE,35,3
INCLUDES_MODULE,35,10
INCLUDES_MODULE,35,13
INCLUDES_MODULE,35,38
INCLUDES_MODULE,35,39
INCLUDES_MODULE,35,40
INCLUDES_MODULE,35,41
INCLUDES_MODULE,35,3479
INCLUDES_MODULE,35,3778
INCLUDES_MODULE,35,4229
INCLUDES_MODULE,35,4231
INCLUDES_MODULE,35,4234
INCLUDES_MODULE,35,4236
INCLUDES_MODULE,35,4238
INCLUDES_MODULE,35,4239
INCLUDES_MODULE,35,4275
INCLUDES_MODULE,35,4282
INCLUDES_MODULE,35,4288
INCLUDES_MODULE,35,4297
INCLUDES_MODULE,35,4330
INCLUDES_MODULE,35,4447
INCLUDES_MODULE,35,4464
TAUGHT_BY,38,15
TAUGHT_BY,38,4463
TAUGHT_BY,39,21
TAUGHT_BY,39,22
TAUGHT_BY,40,17
TAUGHT_BY,41,42
TAUGHT_BY,41,43
TAUGHT_BY,41,54
INCLUDES_MODULE,44,10
INCLUDES_MODULE,44,25
INCLUDES_MODULE,44,41
INCLUDES_MODULE,44,45
INCLUDES_MODULE,44,52
INCLUDES_MODULE,44,3479
INCLUDES_MODULE,44,3778
INCLUDES_MODULE,44,4229
INCLUDES_MODULE,44,4231
INCLUDES_MODULE,44,4234
INCLUDES_MODULE,44,4236
INCLUDES_MODULE,44,4238
INCLUDES_MODULE,44,4239
INCLUDES_MODULE,44,4275
INCLUDES_MODULE,44,4278
INCLUDES_MODULE,44,4282
INCLUDES_MODULE,44,4288
INCLUDES_MODULE,44,4297
INCLUDES_MODULE,44,4305
INCLUDES_MODULE,44,4330
INCLUDES_MODULE,44,4332
INCLUDES_MODULE,44,4447
INCLUDES_MODULE,44,4453
TAUGHT_BY,45,46
TAUGHT_BY,52,53
INCLUDES_MODULE,57,4376
INCLUDES_MODULE,57,4378
INCLUDES_MODULE,57,4380
INCLUDES_MODULE,57,4381
INCLUDES_MODULE,57,4383
INCLUDES_MODULE,57,4385
INCLUDES_MODULE,57,4387
HAS_CURRICULUM,58,59
HAS_CURRICULUM,58,86
HAS_CURRICULUM,58,92
BELONGS_TO,58,16503
INCLUDES_MODULE,59,60
INCLUDES_MODULE,59,61
INCLUDES_MODULE,59,63
INCLUDES_MODULE,59,65
INCLUDES_MODULE,59,66
INCLUDES_MODULE,59,67
INCLUDES_MODULE,59,69
INCLUDES_MODULE,59,71
INCLUDES_MODULE,59,73
INCLUDES_MODULE,59,74
INCLUDES_MODULE,59,75
INCLUDES_MODULE,59,76
INCLUDES_MODULE,59,78
INCLUDES_MODULE,59,80
INCLUDES_MODULE,59,82
INCLUDES_MODULE,59,83
INCLUDES_MODULE,59,84
INCLUDES_MODULE,59,3479
TAUGHT_BY,60,4235
TAUGHT_BY,61,62
TAUGHT_BY,63,64
TAUGHT_BY,65,4290
CONTAINS_MODULE,66,67
CONTAINS_MODULE,66,69
TAUGHT_BY,67,68
TAUGHT_BY,69,70
TAUGHT_BY,71,72
TAUGHT_BY,73,19
TAUGHT_BY,74,4308
TAUGHT_BY,75,27
TAUGHT_BY,76,77
TAUGHT_BY,78,79
TAUGHT_BY,82,15
TAUGHT_BY,83,0
TAUGHT_BY,84,37
INCLUDES_MODULE,86,65
INCLUDES_MODULE,86,82
INCLUDES_MODULE,86,83
INCLUDES_MODULE,86,87
INCLUDES_MODULE,86,89
INCLUDES_MODULE,86,90
INCLUDES_MODULE,86,91
INCLUDES_MODULE,86,3479
TAUGHT_BY,87,88
TAUGHT_BY,89,88
TAUGHT_BY,90,64
TAUGHT_BY,91,4463
INCLUDES_MODULE,92,63
INCLUDES_MODULE,92,66
INCLUDES_MODULE,92,67
INCLUDES_MODULE,92,69
INCLUDES_MODULE,92,73
INCLUDES_MODULE,92,75
INCLUDES_MODULE,92,93
INCLUDES_MODULE,92,94
INCLUDES_MODULE,92,96
INCLUDES_MODULE,92,98
INCLUDES_MODULE,92,99
INCLUDES_MODULE,92,100
TAUGHT_BY,93,62
TAUGHT_BY,94,95
TAUGHT_BY,96,97
TAUGHT_BY,98,4460
TAUGHT_BY,99,4449
TAUGHT_BY,100,4492
HAS_CURRICULUM,101,102
BELONGS_TO,101,16503
INCLUDES_MODULE,102,103
INCLUDES_MODULE,102,104
INCLUDES_MODULE,102,105
INCLUDES_MODULE,102,106
INCLUDES_MODULE,102,111
INCLUDES_MODULE,102,112
INCLUDES_MODULE,102,114
INCLUDES_MODULE,102,115
INCLUDES_MODULE,102,117
INCLUDES_MODULE,102,118
INCLUDES_MODULE,102,120
INCLUDES_MODULE,102,122
INCLUDES_MODULE,102,124
INCLUDES_MODULE,102,126
INCLUDES_MODULE,102,127
INCLUDES_MODULE,102,128
INCLUDES_MODULE,102,129
INCLUDES_MODULE,102,130
INCLUDES_MODULE,102,131
INCLUDES_MODULE,102,132
INCLUDES_MODULE,102,133
INCLUDES_MODULE,102,3479
CONTAINS_MODULE,103,104
CONTAINS_MODULE,103,105
TAUGHT_BY,104,4279
TAUGHT_BY,105,4488
TAUGHT_BY,106,107
TAUGHT_BY,106,108
TAUGHT_BY,106,109
TAUGHT_BY,106,110
TAUGHT_BY,111,4490
TAUGHT_BY,112,113
TAUGHT_BY,114,6
TAUGHT_BY,114,4280
TAUGHT_BY,115,116
TAUGHT_BY,118,119
TAUGHT_BY,120,121
TAUGHT_BY,122,123
TAUGHT_BY,122,4311
TAUGHT_BY,124,125
TAUGHT_BY,126,4279
TAUGHT_BY,127,110
TAUGHT_BY,128,4304
TAUGHT_BY,129,4335
TAUGHT_BY,130,4476
TAUGHT_BY,132,119
TAUGHT_BY,133,4479
HAS_CURRICULUM,134,135
BELONGS_TO,134,16503
INCLUDES_MODULE,135,136
INCLUDES_MODULE,135,137
INCLUDES_MODULE,135,138
INCLUDES_MODULE,135,140
INCLUDES_MODULE,135,142
INCLUDES_MODULE,135,144
INCLUDES_MODULE,135,146
INCLUDES_MODULE,135,148
INCLUDES_MODULE,135,149
INCLUDES_MODULE,135,150
INCLUDES_MODULE,135,152
INCLUDES_MODULE,135,153
INCLUDES_MODULE,135,154
INCLUDES_MODULE,135,155
INCLUDES_MODULE,135,156
INCLUDES_MODULE,135,157
INCLUDES_MODULE,135,158
INCLUDES_MODULE,135,160
INCLUDES_MODULE,135,161
INCLUDES_MODULE,135,162
INCLUDES_MODULE,135,163
INCLUDES_MODULE,135,164
INCLUDES_MODULE,135,3479
TAUGHT_BY,136,4407
CONTAINS_MODULE,137,138
CONTAINS_MODULE,137,140
TAUGHT_BY,138,139
TAUGHT_BY,140,141
TAUGHT_BY,142,143
TAUGHT_BY,144,145
TAUGHT_BY,144,15197
TAUGHT_BY,146,147
CONTAINS_MODULE,148,149
CONTAINS_MODULE,148,150
TAUGHT_BY,149,4415
TAUGHT_BY,150,151
TAUGHT_BY,152,4409
TAUGHT_BY,153,4425
CONTAINS_MODULE,154,155
CONTAINS_MODULE,154,156
TAUGHT_BY,155,4411
TAUGHT_BY,156,4399
CONTAINS_MODULE,157,158
CONTAINS_MODULE,157,160
TAUGHT_BY,158,159
TAUGHT_BY,160,4403
TAUGHT_BY,161,4433
TAUGHT_BY,162,4420
TAUGHT_BY,163,4416
TAUGHT_BY,164,1277
TAUGHT_BY,164,8591
TAUGHT_BY,164,15635
TAUGHT_BY,164,15636
TAUGHT_BY,164,15638
TAUGHT_BY,164,15639
HAS_CURRICULUM,166,167
BELONGS_TO,166,16503
INCLUDES_MODULE,167,31
INCLUDES_MODULE,167,168
INCLUDES_MODULE,167,170
INCLUDES_MODULE,167,171
INCLUDES_MODULE,167,173
INCLUDES_MODULE,167,175
INCLUDES_MODULE,167,177
INCLUDES_MODULE,167,179
INCLUDES_MODULE,167,181
INCLUDES_MODULE,167,183
INCLUDES_MODULE,167,185
INCLUDES_MODULE,167,186
INCLUDES_MODULE,167,188
INCLUDES_MODULE,167,190
INCLUDES_MODULE,167,192
INCLUDES_MODULE,167,193
INCLUDES_MODULE,167,194
INCLUDES_MODULE,167,196
INCLUDES_MODULE,167,197
INCLUDES_MODULE,167,198
INCLUDES_MODULE,167,3479
INCLUDES_MODULE,167,4341
TAUGHT_BY,168,169
TAUGHT_BY,170,4333
TAUGHT_BY,171,172
TAUGHT_BY,173,174
TAUGHT_BY,175,176
