id,label,language,name,semester,ssd,title,type,year
28429,Instructor,,,,ECON-09/B,,,
36134,Instructor,,,,SECS-S/06,,,
35870,Instructor,,,,SECS-S/06,,,
3,Module,Italian,,Second Semester,SECS-P/06,ECONOMIA DELL'ORGANIZZAZIONE INDUSTRIALE,,2023/2024
37007,Instructor,,,,ECON-04/A,,,
5,Module,Italian,,Second Semester,SECS-P/02,ECONOMIA E POLITICA MONETARIA,,2023/2024
11287,Instructor,,,,ECON-03/A,,,
7,Module,Italian,,First Semester,SECS-P/07,ECONOMIA DELLE AMMINISTRAZIONI PUBBLICHE,,2022/2023
8,Module,Italian,,First Semester,SECS-P/07,PIANIFICAZIONE E CONTROLLO DI GESTIONE,,2022/2023
28466,Instructor,,,,SECS-P/07,,,
10,Module,Italian,,First Semester,IUS/07,DIRITTO DEL LAVORO,,2022/2023
28444,Instructor,,,,GIUR-04/A,,,
11050,Instructor,,,,IUS/07,,,
13,Module,Italian,,First Semester,IUS/12,DIRITTO TRIBUTARIO,,2023/2024
43784,Instructor,,,,GIUR-08/A,,,
28390,Instructor,,,,ECON-09/A,,,
16,Module,Italian,,Second Semester,SECS-S/06,MATEMATICA PER LE ASSICURAZIONI,,2024/2025
9687,Instructor,,,,SECS-P/13,,,
18,Module,Italian,,First Semester,SECS-P/11,ECONOMIA E TECNICA DEI MERCATI MOBILIARI,,2022/2023
11077,Instructor,,,,ECON-09/B,,,
20,Module,Italian,,First Semester,SECS-P/10,Organizzazione aziendale,,2022/2023
23532,Instructor,,,,SECS-P/10,,,
35760,Instructor,,,,SECS-P/10,,,
23,Module,Italian,,Second Semester,SECS-P/07,REVISIONE AZIENDALE,,2022/2023
24,Curriculum,,"Banca, assicurazione e mercati finanziari",,,,,
25,Module,Italian,,First Semester,SECS-P/11,ECONOMIA E GESTIONE DELLA BANCA,,2022/2023
26,Module,Italian,,First Semester,SECS-P/11,PRODUZIONE E DISTRIBUZIONE ASSICURATIVA DANNI E VITA,,2022/2023
11078,Instructor,,,,ECON-09/B,,,
28,Module,Italian,,Second Semester,SECS-P/11,RISK MANAGEMENT E CREAZIONE DI VALORE NELLE BANCHE,,2022/2023
28514,Instructor,,,,ECON-09/B,,,
30,Module,Italian,,Second Semester,IUS/01,CONTRATTI E RESPONSABILITA',,2022/2023
31,Module,Italian,,Second Semester,SECS-P/13,"ENERGIA, MATERIE PRIME ED INNOVAZIONE",,2023/2024
9696,Instructor,,,,ECON-10/A,,,
33,Module,Italian,,Second Semester,M-GGR/02,GEOGRAFIA DELL'IMPRESA E DEI MERCATI FINANZIARI,,2022/2023
34335,Instructor,,,,GEOG-01/B,,,
35,Curriculum,,Gestione d'impresa,,,,,
23521,Instructor,,,,ECON-07/A,,,
23526,Instructor,,,,SECS-P/08,,,
38,Module,Italian,,First Semester,SECS-P/09,FINANZA AZIENDALE,,2024/2025
39,Module,Italian,,First Semester,SECS-P/10,ORGANIZZAZIONE AZIENDALE,,2022/2023
40,Module,Italian,,First Semester,SECS-P/13,TECNOLOGIA DEI CICLI PRODUTTIVI,,2023/2024
41,Module,Italian,,Second Semester,SECS-P/08,MARKETING,,2024/2025
33702,Instructor,,,,SECS-P/08,,,
33705,Instructor,,,,ECON-07/A,,,
44,Curriculum,,Economia e commercio (corso serale),,,,,
45,Module,Italian,,Second Semester,,LINGUA FRANCESE,,2024/2025
15799,Instructor,,,,FRAN-01/B,,,
35858,Instructor,,,,SECS-P/08,,,
11139,Instructor,,,,ECON-02/A,,,
12763,Instructor,,,,STAT-01/A,,,
28516,Instructor,,,,GIUR-02/A,,,
